이슈,원인,원인 소분류,원인 대분류,조치결과,조치결과상세,로봇분류
베어로봇2세대 멀티로봇 ㅈㅈ주행불가,"멀티로봇 오류, 줄서기오류 등",SW / 자율주행,로봇문제(SW),멀티로봇/줄서기오류 등 개선(SW),,베어 서비스로봇2 임대형
베어로틱스 CS팀 이주희방역로봇 점검 결과 플라즈마모듈 불량으로 로봇 교체 요청,(방역)플라즈마 공기살균기 불량,HW / (방역)플라즈마 공기살균기,로봇문제(HW),로봇교체(HW),로봇 교체,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
베어로틱스 CS팀 이주희방역로봇 점검 결과 플라즈마모듈 불량으로 로봇 교체 요청,(방역)플라즈마 공기살균기 불량,HW / (방역)플라즈마 공기살균기,로봇문제(HW),로봇교체(HW),로봇 교체,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
베어사 합동 플라즈마 모듈 교체,(방역)플라즈마 공기살균기 불량,HW / (방역)플라즈마 공기살균기,로봇문제(HW),(방역)플라즈마 공기살균기 불량 복구(HW),베어사 방문 플라즈마 모듈교체,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
베어사 SWAP판정 교체,TX2(HW 센서구동부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),리부팅(HW),베어사 swap판정 교체,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
베어사에서 SWAP,TX2(HW 센서구동부 보드) 불량,HW / TX2(HW 센서/구동부 보드),로봇문제(HW),로봇교체(HW),베어사에서 임시복구용으로 교체진행,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
베어서비스로봇 충전안됨,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),충전기 불량,베어 서빙로봇
베어서빙 고장접수  로봇불량으로 교체관련접수,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),로봇교체(HW),다우통신 로봇불량으로교체함,베어 서빙로봇
베어서빙로봇 버전변경,기타,SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",버전변경,베어 서빙로봇
베어서빙로봇 as특수수요 교체,전원부 불량,HW / 전원부,로봇문제(HW),로봇교체(HW),as특수수요교체,베어 서빙로봇
베어서빙로봇 return  오류,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),로봇 리부팅 및 기타기능 설정,베어 서빙로봇
베어서빙로봇멈춤장애,기타,HW / 공유기,무선품질문제,기타(외부시스템),usb교체 후 정상동작,베어 서빙로봇
베어POC로봇  불량으로  AS특수수요요청건,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),As특수수요요청,베어 서빙로봇
벽 추가 공사로 수정작업,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블 벽 추가 공사로 맵 수정,베어 서비스로봇2 임대형
변경 요청,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",환경변화로 장애물 테이블위치조정 위치스티커 부착,베어 서빙로봇
변경단말확인,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),디스플레이 불량,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
보드불량 교체 요청,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),Xavier(SW응용부 보드) 불량복구(HW),보드교체,LG 서빙로봇
보드불량으로 서비스 진행안됨방문수리요청,관성 센서 불량,HW / 라이다 센서,로봇문제(HW),라이다 불량복구(HW),보드교체,LG서빙로봇(POC)
복귀동작 오류,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),,베어 서빙로봇
복귀시 간혹 동작불량,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),,LG 서비스로봇2 임대형
복귀시 간혹 불량,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),,LG 서비스로봇2 임대형
복귀오류,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 로봇 내부 설정,고객환경(변화),대기시간 조정(설정),복귀오류 h/w리셋,베어 서빙로봇
복귀오류,서비스 매니저 오류(서빙/방역서비스처리),SW / 서비스매니저(서빙/방역 서비스처리),고객환경(변화),자율주행 로직개선(SW),복귀지점 오류,베어 서빙로봇
복귀오류,"자율주행 오류(멈춤, 금지구역침범 등)",문의성 / 장애안내,고객사용법,조작법 안내(고객),,베어 서빙로봇
복귀장소 오류및 글씨폰트 작음,라이다 센서 불량,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),픽업장소오류 버젼업/라이다센서 오후태양빛 반사오류 수정,베어 서빙로봇
부인과 주사실 추가방역구역 설치요,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",맵 재설치,베어로봇틱스 임대형 방역로봇
부탕불 수캔하기버튼 안눌림,TX2(HW 센서구동부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),관성 센서 불량복구(HW),부팅불,LG서빙로봇(POC)
부팅 및 운행 에러,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",주행에러로 맵수정,베어 서빙로봇
부팅 중 멈춤 및 무선충전기 충전불가 현상,비고장,HW / 전원부,로봇문제(HW),리부팅(HW),유선충전기 최소 충전후 무선으로 변경,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
부팅불,부팅오류/반복적인 재부팅,HW / TX2(HW 센서/구동부 보드),로봇문제(HW),라우터 불량복구(HW),부팅오류,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
부팅불,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),버전업,베어 서빙로봇
부팅불,TX2(HW 센서구동부 보드) 불량,HW / TX2(HW 센서/구동부 보드),로봇문제(HW),TX2 불량복구(HW),navi보드 수리,LG서빙로봇(POC)
부팅불가,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),기타(외부시스템),부팅불가로 긴급복구용 로봇교체,베어 서빙로봇
부팅안됨,로봇 에러(재부팅 필요),설치 / 로봇 내부 설정,고객환경(변화),인스톨러 개선(SW),초기화 오류 발생 초기화 10회 이성 실시 복구됨,베어 서빙로봇
부팅안됨,로봇 에러(재부팅 필요),설치 / 맵 설정,고객환경(변화),"S/W, F/W 업그레이드 적용(설정)","부팅불가, 팜웨어 업그레이드 수리","서빙로봇,서빙로봇 충전기"
부팅이상,비고장,HW / 전원부,로봇문제(HW),자연회복(자연회복),재부팅,LG 서빙로봇 판매
부팅중 에러발생,터치패널 불량,HW / 터치패널,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),로봇불량수리의뢰(제조사방문후처리예정,베어 서빙로봇
부팅중 자동으로 꺼짐,충전스테이션 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),충전기 전원서 접속이상,베어 서빙로봇
부품교체,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),Xavier(SW응용부 보드) 불량복구(HW),부품교체,LG 서빙로봇 판매
부품교체,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),Xavier(SW응용부 보드) 불량복구(HW),부품교체,LG 서빙로봇 판매
불량교체 특수수요 요청,(방역)플라즈마 공기살균기 불량,HW / (방역)플라즈마 공기살균기,로봇문제(HW),로봇교체(HW),특수수요AS 교체처리,베어로봇틱스 임대형 방역로봇
불량로봇 교체요청,모터 불량,HW / 모터,로봇문제(HW),로봇교체(HW),로봇교체요청,베어 서빙로봇
블랙화면 발생관련 로봇교체판정,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),로봇교체,베어 서빙로봇
비정상 주행,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),3D 카메라(전면) 불량복구(HW),상방카메라 이물질 제거위치조정2개소,베어 서빙로봇
빙글빙글 돈다고함,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),장애물 제거(환경),로봇위치 잃어버림,베어 서빙로봇
빙빙도는현상,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),Xavier(SW응용부 보드) 불량복구(HW),전원리부팅,베어 서빙로봇
사각트레이 교체요청,트레이/적재함 불량,HW / 트레이/적재함,로봇문제(HW),트레이/적재함 불량복구(HW),,베어 서빙로봇
사각트레이 패드교체 요청,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),사각트레이 패드 교체,베어 서빙로봇
사업주가 변경요청,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",환경변화로 장애물 테이블 위치조정 로봇위치 스티커 부착,베어 서빙로봇
사업주변경으로 로봇 판매자 김성민 동반 방문사용 권장 및 사용법 안내,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),사업주변경,베어 서빙로봇
사용량저조,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 로봇 내부 설정,고객환경(변화),대기시간 조정(설정),로봇외관 클린징작업,베어 서빙로봇
사용법 안내,문의성,문의성 / 기술상담,고객사용법,조작법 안내(고객),사용법 안내,LG서빙로봇(POC)
사용법 안내 및 점검,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",노드재설정,LG서빙로봇(고객)
사용불가지역,비고장,비고장 / 기타,기타,,"고객 테이블 위치변경함, 맵 수정및 하이오더ㅜ재연동",LG 서빙로봇 판매
사용저조,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),클린작업 및 지속적으로 사용 권장드림,베어 서빙로봇
사용저조,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),클린작업 및 지속적으로 사용 권장드림,베어 서빙로봇
사용중 끈김,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),기타 사물 재배치 오류  발생,베어 서빙로봇
사용중 멈춤 현상,문의성,문의성 / 기술상담,고객사용법,조작법 안내(고객),사용미숙,베어 서빙로봇
사용중 위치 찿지 못항,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),맵 오류 수정,베어 서빙로봇
사운드 불,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),로봇교체(HW),하방 카메라 인식불,LG서빙로봇(고객)
사후캐어,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",종업원 사용법 교육,LG 서비스로봇2 판매형
사후케어,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",맵수정 및 노드변경?????? - 로봇 트레이 1대제거 및 위치변경?????? - 메뉴판변경 및 음원변경 - 신입직원분들 로봇 운용 교육,LG 서비스로봇2 판매형
사후케어,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",위치변경,LG 서빙로봇
사후케어,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),사후케어,LG 서빙로봇
상단트레이불량,트레이/적재함 불량,HW / 트레이/적재함,로봇문제(HW),로봇교체(HW),로봇교체,베어 서빙로봇
"상품명][신고자/연락처]010-3923-5007 정창민[문의(고장)내용]앞에 계속 뭐가 물건이 있다고 앞으로 나가지도 못하고 그리고 또 복귀를 할라 해도 자기 자리를 찾아까지는 못해요 [답변(진단)내용]전원리부팅은 안해보셨으며,지난번에도 동일증상으로 AS받았으나 재발됨,,정밀요청[기타]",비고장,비고장 / 고객취소,고객사용법,조작법 안내(고객),사용상 부주의,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
서비스 장애 운행 불가,로봇 에러(재부팅 필요),SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),리부팅(HW),재부팅 후 복구,"서빙로봇,방역로봇 충전기"
서비스 준비중에서 부팅불량,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),TX2 불량복구(HW),som 보드 교체,LG 서빙로봇 판매
서비스를 준비중 입니다오류,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),Xavier(SW응용부 보드) 불량복구(HW),SOM보드 교체,LG 서빙로봇 판매
서비스준비중 잠시 가다려 주세요 메세지 반복 발생,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),468014,LG 서빙로봇
서비스준비중에서 오류,TX2(HW 센서구동부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),Xavier(SW응용부 보드) 불량복구(HW),SOM 보드 불량교체,LG 서빙로봇 판매
서비스중입니다 표시 지속 발생 방문요청,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),Xavier(SW응용부 보드) 불량복구(HW),제조사 SOM보드 교체 예정,LG서빙로봇(고객)
서빙 복귀 안됨,트레이/적재함 불량,HW / 트레이/적재함,로봇문제(HW),UI/UX 로직개선(LCD 화면 표기)(SW),트레이 ToF센서 이물질 제거,LG 서빙로봇 판매
서빙 않됨 방문요청,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),기타(외부시스템),로봇 재배치 및 복귀지점 재설정,베어 서빙로봇
서빙 알림멘트 안나옴,기타,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),리부팅(HW),용도 설정변경,베어 서빙로봇
서빙가는 도중 되돌아 온다함,매장 내 신규 장애물 발생,문의성 / 기술상담,고객사용법,속도조정(설정),수리완료,베어 서빙로봇
서빙간혹 멈춤,바퀴 불량,HW / 바퀴,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),,베어 서빙로봇
서빙구역 전체 변경,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),전체 재설치,베어 서빙로봇
서빙구역 전체변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),전체 재설치,베어 서빙로봇
서빙대기  위치 이동 및 목적지수정,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),서빙대기  위치이동,베어 서빙로봇
서빙대기 위치미세조정요청,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),서빙대기위치 조정,베어 서빙로봇
서빙대기위치 대기열 위치변경요청,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),,베어 서빙로봇 미니
서빙대기위치 수정요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),서빙대기위치변경요청,베어 서빙로봇
서빙대기위치 집기 변경으로 재매핑 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),서빙대기위치 집기변경으로 재맵핑,베어 서빙로봇
서빙대기위치변경 및터이 위치변경 요청,비고장,문의성 / 기술상담,고객사용법,맵 보정(설정),위치변경 완료,베어 서빙로봇
서빙대기위치변경요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),서빙대기위치변경,베어 서빙로봇
서빙도중 위치 잃어버림,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),장애물 제거(환경),수리완료,LG 서빙로봇 판매
서빙로봇 1대 이상증상,로봇 에러(재부팅 필요),HW / 라이다 센서,로봇문제(HW),리부팅(HW),재부팅 후 정상작동,베어 서비스로봇2 임대형
서빙로봇 멈춤,비고장,HW / 라이다 센서,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),본체 클리닉,베어 서비스로봇2 임대형
서빙로봇 미사용 방문,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",미사용으로 방문,베어 서빙로봇
서빙로봇 부팅불량,부팅오류/반복적인 재부팅,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),로봇교체(HW),AS용 로봇 임시교체,베어 서빙로봇
서빙로봇 불통,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),장애물 제거(환경),재배치,베어 서빙로봇
서빙로봇 액정화면 불량,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),액정불량 교체,베어 서빙로봇
서빙로봇 오류,로봇 에러(재부팅 필요),설치 / 로봇 내부 설정,고객환경(변화),리부팅(HW),사용중오류 재부팅 수리,베어 서빙로봇
서빙로봇 오류 껏다 켜도 안됨 방문하여 점검해주세요,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),서빙대기오류,베어 서빙로봇
서빙로봇 움직이지 않음,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),,베어 서빙로봇
서빙로봇 작동안됨,라이다 센서 불량,HW / 라이다 센서,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),로봇 동작불,LG 서비스로봇2 판매형
서빙로봇 작동오류로 빠른조치 희망,"맵핑오류, 라이다 틀어짐",SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",맵수정,베어 서빙로봇
서빙로봇 정상동작 안함,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,베어 서빙로봇
서빙로봇 주행 중 멈춤,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),,베어 서빙로봇
서빙로봇 주행 중 멈춤,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),,베어 서빙로봇
서빙로봇 충전안됨,충전스테이션 불량,HW / 전원부,로봇문제(HW),충전스테이션 불량복구(HW),어댑터 재접속,베어 서빙로봇
서빙로봇 PoC 사후케어,자연회복,HW / 트레이/적재함,로봇문제(HW),자연회복(자연회복),PoC 고객케어,LG서빙로봇(POC)
서빙로봇 PoC철거 요청,비고장,HW / 트레이/적재함,로봇문제(HW),자연회복(자연회복),서빙로봇 PoC철거,LG서빙로봇(POC)
서빙불가,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),맵수정,베어 서빙로봇
서빙불가,비고장,설치 / 로봇 내부 설정,고객환경(변화),자연회복(자연회복),이용정지 체납,베어 서빙로봇
서빙시 음식내리기전에 복귀함,로봇 설정 미흡,문의성 / 기술상담,고객사용법,리부팅(HW),순회오드로운영중 서빙,베어 서빙로봇
서빙오류,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),양호,LG 서빙로봇 판매
서빙위치 복귀 오류,비고장,비고장 / 기타,기타,,벽부근 장애물 제거,베어 서빙로봇
서빙위치 오류,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),수리로 위치 오류,베어 서빙로봇
서빙위치 오류,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블 위치 변동 5개 수정,베어 서빙로봇
서빙위치변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",서빙위치 변경,베어 서비스로봇2 임대형
서빙으로 오지않음,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),인스톨러 개선(SW),사용 미숙,베어 서빙로봇
서빙장소 변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),서빙장소변경,베어 서빙로봇
서빙중 간혹 멈춤,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,베어 서빙로봇
서빙중 버벅거림,자연회복,자연회복 / 자연회복,기타,자연회복(자연회복),양호,베어 서빙로봇
서빙출발시 멀티로봇 스탠바이 위치 앞으로 가서 다시 목적지로 출발합니다,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",멀티로봇 스탠바이 위치 변경,베어 서빙로봇
서빙출발시 멀티로봇 스탠바이 위치에 가서 다시 목적지로 출발합니다,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",멀티로봇 스탠바이 위치 변경,베어 서빙로봇
서빙테이블 추가,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",신규테이블 발생으로 경로 및 목적지 수정작업,LG 서빙로봇 판매
서빙포인트 조정 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),서빙포인트 조정,LG 서빙로봇 판매
서빙포인트근처 파티션제거로 로봇에러,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),서빙포인트옆파티션제거 맵 수정,베어 서빙로봇
서빙후 미복귀,서비스 매니저 오류(서빙/방역서비스처리),설치 / 로봇 내부 설정,고객환경(변화),리부팅(HW),양호,베어 서빙로봇
서빙후 미복귀,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),위치재배치,베어 서빙로봇
서빙후 미복귀,비고장,비고장 / 기타,기타,,비상정지버튼 활성화,베어 서빙로봇
서빙후 미복귀 현상벌생,매장 내 신규 장애물 발생,SW / 자율주행,로봇문제(SW),장애물 제거(환경),무게센서고장,베어 서빙로봇
서빙후 복귀  않함,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",로봇 무게센서및 맵수정,베어 서빙로봇
서빙후 복귀 안됨,문의성,로봇플랫폼 / 로보케어 APP,로봇플랫폼,로보케어 APP 개선(로봇플랫폼),,베어 서빙로봇
서빙후 복귀실패,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),복귀(수동=>자동)변경 설정함,베어 서빙로봇
서빙후 자동복귀 안함,문의성,HW / 관성 센서,기타,수리의뢰(원격수리/수리의뢰 배송)(HW),원격 무게센서 교육,베어 서빙로봇
서빙후 자동복귀 안함,트레이/적재함 불량,HW / 트레이/적재함,로봇문제(HW),트레이/적재함 불량복구(HW),트레이 점검,베어 서빙로봇
선제적고객케어,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),자연회복(자연회복),선제적 고객케어 활동,베어 서빙로봇
선프라자 베어서빙로봇 as특수수요교체,전원부 불량,HW / 전원부,로봇문제(HW),로봇교체(HW),as특수수요교체,베어 서빙로봇
세대중 한대가 서빙후 안돌아 옴,고객 조작 미숙,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자연회복(자연회복),무게초기화,베어 서비스로봇2 임대형
소프트웨어 버전 업데이트,충돌,설치 / 맵 설정,고객환경(변화),"S/W, F/W 업그레이드 적용(설정)",소프트웨어 업그레이드,베어 서빙로봇
속도느림,문의성,로봇플랫폼 / 로보케어 APP,로봇플랫폼,UI/UX 로직개선(LCD 화면 표기)(SW),양호,LG 서빙로봇 판매
속도변경 요청,문의성,문의성 / 기술상담,고객사용법,속도조정(설정),속도변경및 설정방법 설명,베어 서빙로봇
수시 운행 불가,공유기 불량,와이파이 / 공유기,무선품질문제,리부팅(HW),와이파이 리부팅 회복,베어 서비스로봇2 임대형
수시로 먹통 화면터치 안돼는 증상 수시로 발생로봇 이동시 지정된 장소가 아닌 엉뚱한 곳으로 이동 한다함,비고장,SW / 자율주행,로봇문제(SW),자연회복(자연회복),"방문점검시 이상점 발견못함로봇이동로드 재설정 및 금지구역,완화금지구역 재설정",LG 서빙로봇 판매
수시로 위치 잃어 재배치,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),테이블 일부 이동됨 원위치,베어 서빙로봇
수팅중 초기화 오류,로봇 에러(재부팅 필요),설치 / 로봇 내부 설정,고객환경(변화),리부팅(HW),"초기화오류,리부팅",베어 서빙로봇
스케쥴방역 비정상,로보케어 APP 오류,로봇플랫폼 / 로보케어 APP,로봇플랫폼,로보케어 APP 개선(로봇플랫폼),agant 업그레이드 완료함,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
스켄오류,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),기타(외부시스템),엔지니어 메뉴설정,LG 서빙로봇 판매
스크린5번방 호출벨안됨,"호출벨/오더연동오류, 오더수행중 종료",외부시스템 / 기타,기타,기타(외부시스템),호출벨점검,LG 서빙로봇 판매
스테이션 카메라에러,3D 카메라(후면) 불량,SW / 자율주행,로봇문제(SW),3D 카메라(후면) 불량복구(HW),엘지스테이션 및 로봇케어앱에 카메라에러 발생 복구,LG 서비스로봇2 임대형
식당내 에어컨설치 방문요청,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),기타(외부시스템),에어컨설치 테이블 위치변경으로 서빙위치 재설정,베어 서빙로봇
"신규개통 로봇 불량판정, AS특수수요 요청 처리건",자연회복,SW / 자율주행,로봇문제(SW),자연회복(자연회복),"로봇 점검 완료, SW 업데이트 완료",베어 서빙로봇
실개통후 스피크 불량으로  AS특수수요요청  당일교체작업진행,마이크/스피커 불량,HW / 마이크/스피커,로봇문제(HW),로봇교체(HW),로봇불량으로AS특수수요 요청으로교체,LG서빙로봇(고객)
실내 구조변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),재설치,베어 서빙로봇
실내 테이블 위치 변경후 로봇 에러,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),인스톨러 개선(SW),테이블 위치 전체 변경,베어 서빙로봇
실행준비중입니다 계속 떠있음,TX2(HW 센서구동부 보드) 불량,HW / TX2(HW 센서/구동부 보드),로봇문제(HW),Xavier(SW응용부 보드) 불량복구(HW),som보드 에러,LG 서빙로봇 판매
아래 빨간색 점등 후 미동작및 충돌 감지 메세지,"자율주행 오류(멈춤, 금지구역침범 등)",로봇플랫폼 / Robot Makers(로봇플랫폼),로봇플랫폼,"위치변경(대기장소, 목적지 테이블 등)(설정)",양호,LG서빙로봇(고객)
안내로봇 운행 작동 않되네요,로봇 설정 미흡,문의성 / 기술상담,고객사용법,조작법 안내(고객),사용자 로봇 사용 미숙,베어 서빙로봇
안내음성 안나옴,오픈하드웨어(음성인식보드) 불량,SW / UI/UX(LCD 화면표기),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",업그레이드 후 오류 삭제후 재입력,LG 서빙로봇 판매
안움직임,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),위치스캔불,LG 서빙로봇 판매
액정깨짐swap,고객 조작 미숙,HW / 터치패널,로봇문제(HW),로봇교체(HW),,베어 서비스로봇2 임대형
액정불량,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),display 불량,베어 서빙로봇
액정불량,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),로봇교체,베어 서빙로봇
