이슈,원인,조치결과
[상품명]서빙로봇[신고자/연락처]010-5773-2294 박미영[문의(고장)내용]이동 불가[답변(진단)내용]이동불가 현장확인바람[기타],[상품명]서빙로봇[신고자/연락처]010-5773-2294 박미영[문의(고장)내용]이동 불가[답변(진단)내용]이동불가 현장확인바람[기타],
목적지 추가요청등,목적지 추가요청등,목적지 추가 등
[상품명]방역로봇[신고자/연락처]진은정 061-860-5636[문의(고장)내용]액정에 초기화 도중 에러 발이 되었다. 재시도를 누르라는 메시지 뜸. 재시도 누르면 계속 동일 메시지 발생[답변(진단)내용][기타],[상품명]방역로봇[신고자/연락처]진은정 061-860-5636[문의(고장)내용]액정에 초기화 도중 에러 발이 되었다. 재시도를 누르라는 메시지 뜸. 재시도 누르면 계속 동일 메시지 발생[답변(진단)내용][기타],초기화오류
주행시험,주행시험,멀티주행점검
주행테스트,주행테스트,멀티주행점검
방문점검요청,방문점검요청,서빙구간 신규장애물 조정
방문점검요청,방문점검요청,판매형SWAP으로 임시단말 운행분 고객요청사항 수정
물건위치변경및 대기장소변경요청,물건위치변경및 대기장소변경요청,운영장소재지정및 장애물 맵수정
식당내 에어컨설치 방문요청,식당내 에어컨설치 방문요청,에어컨설치 테이블 위치변경으로 서빙위치 재설정
카메라 작동 이상으로 길막힘 현상 발생,카메라 작동 이상으로 길막힘 현상 발생,로봇교체
길을 잃어버림,길을 잃어버림,스마트캐스트 호출벨 수신기 전원 연결
길을 자주 잃어버림,길을 자주 잃어버림,카메라센서 클리닝
로봇 안 움직임,로봇 안 움직임,보드 불량 LG쪽 기사님 방문 교체후 재 점검
[상품명]서빙로봇[신고자/연락처]고객/010-9299-9970[신고(고장)내용]로봇이 자기자리를 찾지못함/ 현장확인 요청 하심[답변(진단)내용][기타/추가연락처],[상품명]서빙로봇[신고자/연락처]고객/010-9299-9970[신고(고장)내용]로봇이 자기자리를 찾지못함/ 현장확인 요청 하심[답변(진단)내용][기타/추가연락처],AP교체에 따른 wifi재설정후 양호
로봇 하이오더 연동,로봇 하이오더 연동,로봇.하이오더 연동 완료
로봇 동작 이상 SOM보드교체 L사 직원 입회,로봇 동작 이상 SOM보드교체 L사 직원 입회,SOM보드교체완료
일부테이블 서빙않됨 방문 점검요청,일부테이블 서빙않됨 방문 점검요청,테이블 넘버변경 및 POI 재설정
충전불량,충전불량,아답터 교체
주행 간혹 오류,주행 간혹 오류,
화면이 흐리게 보임,화면이 흐리게 보임,
[상품명]베어 서빙로봇[신고자/연락처]박순옥/010-8852-1304[문의(고장)내용]길을 못찾음[답변(진단)내용][기타],[상품명]베어 서빙로봇[신고자/연락처]박순옥/010-8852-1304[문의(고장)내용]길을 못찾음[답변(진단)내용][기타],재배치
[상품명]베어서빙로봇[신고자/연락처]이미자/01064083336[문의(고장)내용]서빙로봇 수시 에러로 점검요청 /as후에도 동일증상  해지까지 문의하심 /[답변(진단)]로봇리셋 안내 / 고객 불만심함 / 초기화 실행해보았다고함 .[기타],[상품명]베어서빙로봇[신고자/연락처]이미자/01064083336[문의(고장)내용]서빙로봇 수시 에러로 점검요청 /as후에도 동일증상  해지까지 문의하심 /[답변(진단)]로봇리셋 안내 / 고객 불만심함 / 초기화 실행해보았다고함 .[기타],대체로봇교체테스트예정
관제에러확인,관제에러확인,에러복구 멀티운행 점검
관제에러 확인,관제에러 확인,에러복구 멀티점검
주행에러,주행에러,일시적 에러 복구
로봇 동작 간혹 불량,로봇 동작 간혹 불량,
로봇 주행중 충돌오류 현상발생,로봇 주행중 충돌오류 현상발생,
도착시 알림벨 안울림,도착시 알림벨 안울림,알림벨 맵 업로드후 정상
엘지로봇 부팅안됨 현장출동요청,엘지로봇 부팅안됨 현장출동요청,엘지수리의뢰
주말 로봇 작동불,주말 로봇 작동불,"터치불,  소프트웨어 업데이트 후 하드웨어리셋"
[상품명] 서빙로봇 [신고자/연락처] 조연희 010 9412 3494[문의(고장)내용]  동선 변경 요청[답변(진단)내용]  점검요청[기타],[상품명] 서빙로봇 [신고자/연락처] 조연희 010 9412 3494[문의(고장)내용]  동선 변경 요청[답변(진단)내용]  점검요청[기타],맵수정
어? 라는 화면 뜸,어? 라는 화면 뜸,업데이트 진행
초기화오류,초기화오류,초기화오류 전원 리부팅
[상품명]  서빙로봇[신고자/ 연락처]김수현 010 9609 7270[문의(고장)내용] 동작안된다함[답변(진단)내용] 인터넷 정상 사용된다함 [기타],[상품명]  서빙로봇[신고자/ 연락처]김수현 010 9609 7270[문의(고장)내용] 동작안된다함[답변(진단)내용] 인터넷 정상 사용된다함 [기타],상단 사각트레이 탈거 됨.. 재 부착
방역로봇  길이막혔어요 뜸,방역로봇  길이막혔어요 뜸,로봇 위치재설정 후 복구 됨
LG로봇 tof센서 수리 후점검요청,LG로봇 tof센서 수리 후점검요청,tof센서 접촉불량 수리
[상품명]베어서빙로봇[신고자/연락처]이미자/01064083336[문의(고장)내용]서빙로봇 주행이 안된다심 로봇가져가라고 하시면서 불만표시[답변(진단)]로봇리셋 안내 / 고객 불만심함 꼼꼼한 점검 요청[기타],[상품명]베어서빙로봇[신고자/연락처]이미자/01064083336[문의(고장)내용]서빙로봇 주행이 안된다심 로봇가져가라고 하시면서 불만표시[답변(진단)]로봇리셋 안내 / 고객 불만심함 꼼꼼한 점검 요청[기타],재맵핑
주행에러,주행에러,주행양호 로봇점검양호
[상품명]초긴급[신고자/연락처]이신철 010-8785-3496[문의(고장)내용]로봇두대 모두 제멋데로 이동함 긴급점검요청[답변(진단)내용]단말 전원 리부팅 동일함[기타],[상품명]초긴급[신고자/연락처]이신철 010-8785-3496[문의(고장)내용]로봇두대 모두 제멋데로 이동함 긴급점검요청[답변(진단)내용]단말 전원 리부팅 동일함[기타],wifi 행업 및 유막제거
로봇껒져있고몇일째 사용안함,로봇껒져있고몇일째 사용안함,로봇꺼져있음
베어로보틱스 오작동,베어로보틱스 오작동,무선공유기 리셋복구
LG서빙로봇 SOM보드불량,LG서빙로봇 SOM보드불량,SOM보드불량교체
서빙후 복귀  않함,서빙후 복귀  않함,로봇 무게센서및 맵수정
로봇 불량 교체,로봇 불량 교체,단말교체
로봇 이상 작동,로봇 이상 작동,클리닝
" [상품명] : 서빙로봇 [신고자/연락처] : 010-9938-8450김신영 [문의(고장)내용] : 로봇 8월초부터 테이블을 못찾음, 충전했는데도 맵이 지워진거 같다고 출동하여 점검요청 [ 답변(진단)내용] : 수배접수 [기타] :  "," [상품명] : 서빙로봇 [신고자/연락처] : 010-9938-8450김신영 [문의(고장)내용] : 로봇 8월초부터 테이블을 못찾음, 충전했는데도 맵이 지워진거 같다고 출동하여 점검요청 [ 답변(진단)내용] : 수배접수 [기타] :  ",로봇 맵 위치 재설정 확인후 정상동작
[상품명]서빙로봇[신고자/연락처]임혜경 010-9221-9387[문의(고장)내용]로봇 충전 잘 안됨[답변(진단)내용]충전안됨[기타]인입 053-959-8882,[상품명]서빙로봇[신고자/연락처]임혜경 010-9221-9387[문의(고장)내용]로봇 충전 잘 안됨[답변(진단)내용]충전안됨[기타]인입 053-959-8882,
로봇 멈춤현상  점거요청,로봇 멈춤현상  점거요청,마커 재인식및이물질제거
로봇클리닝,로봇클리닝,"충전장소에 바퀴 자국발생,바퀴 클리닝"
로봇클리닝,로봇클리닝,충전장소 바퀴 자국으로 바퀴 클리닝
로봇운행에러,로봇운행에러,로봇주행에러로 지도 재맵핑
테이블로  안가서 대기장소오고 다시 보내니 되었다고함,테이블로  안가서 대기장소오고 다시 보내니 되었다고함,버전업 후 양호
바코드현행화,바코드현행화,오접수취소
사용불가지역,사용불가지역,"고객 테이블 위치변경함, 맵 수정및 하이오더ㅜ재연동"
로봇작동붛,로봇작동붛,호출벨 작동불 스마트캐스트사 연결해드림
재 맵핑 테스트,재 맵핑 테스트,고정장애물 변경으로 재 맵핑
로봇초기불량으로인한로봇교체,로봇초기불량으로인한로봇교체,로봇교체
로봇swap판정으로 인한 로봇교체작업,로봇swap판정으로 인한 로봇교체작업,부팅 불가 로봇 교체
로봇 복귀안됨,로봇 복귀안됨,로봇 복귀안됨
배식장소 변경 요청,배식장소 변경 요청,배식 밀포인트 변경
배식장소 변경 요청,배식장소 변경 요청,배식 밀포인트 변경
업그레이드않됨 L사직원 고객사 방문점검,업그레이드않됨 L사직원 고객사 방문점검,버전업 및 PUSH모드사용
마커 위치변경,마커 위치변경,마커 위치변경 및 재설정
[상품명]베어로보틱스 방역로봇[신고자/연락처]이기범 010 9898 3002[문의(고장)내용]작동을 하다 멈추는데 복귀명령을 하면 장애물이있다고 인식을 함[답변(진단)내용]연락요망[기타],[상품명]베어로보틱스 방역로봇[신고자/연락처]이기범 010 9898 3002[문의(고장)내용]작동을 하다 멈추는데 복귀명령을 하면 장애물이있다고 인식을 함[답변(진단)내용]연락요망[기타],원인불명
"주행실패, 대기장소 못찾아 들어감","주행실패, 대기장소 못찾아 들어감",
로봇불량 교체,로봇불량 교체,
에러코드 발생 로봇작동불,에러코드 발생 로봇작동불,구동부 이물질제거
[상품명]LG서빙로봇[신고자/연락처]010-2372-5956조수상[문의(고장)내용]손님자리랑 부딪치거나 1~2회/1일 중간에 멈추하거나 함/부팅해도 동일/로봇바닥에 충격흡수고무가 너덜거린다고 교체 요청함[답변(진단)내용]방문일정 확인전화 요망함![기타],[상품명]LG서빙로봇[신고자/연락처]010-2372-5956조수상[문의(고장)내용]손님자리랑 부딪치거나 1~2회/1일 중간에 멈추하거나 함/부팅해도 동일/로봇바닥에 충격흡수고무가 너덜거린다고 교체 요청함[답변(진단)내용]방문일정 확인전화 요망함![기타],
로봇 연결안됨,로봇 연결안됨,전원 연작업
LG멀티로봇 배식열 로봇 출발 후 대기에서 오는 로봇 딜레이 요청,LG멀티로봇 배식열 로봇 출발 후 대기에서 오는 로봇 딜레이 요청,설정 메인옵션 설정변경
유심변경건,유심변경건,유심변경건
안움직임,안움직임,위치스캔불
로봇화면에  충돌감지에러  계속발생,로봇화면에  충돌감지에러  계속발생,범퍼센스 휘어짐으로  재조정후  정상작동(서비스 센터직원  동해)
로봇 2대중 1대 미동작,로봇 2대중 1대 미동작,마그네틱 센서 고장 조치
[상품명]서빙로봇 [신고자/연락처]김민주 010 6663 5047[문의(고장)내용]기존보다 이동이 느리고 빙빙 돌기도 하고 점검요청하심. [답변(진단)내용]월요일 오전 연락드리고 방문하겠다고 안내드림. [기타],[상품명]서빙로봇 [신고자/연락처]김민주 010 6663 5047[문의(고장)내용]기존보다 이동이 느리고 빙빙 돌기도 하고 점검요청하심. [답변(진단)내용]월요일 오전 연락드리고 방문하겠다고 안내드림. [기타],카메라센서 및tof센서오염
로봇 오동작,로봇 오동작,로봇오동작
수시로 먹통 화면터치 안돼는 증상 수시로 발생로봇 이동시 지정된 장소가 아닌 엉뚱한 곳으로 이동 한다함,수시로 먹통 화면터치 안돼는 증상 수시로 발생로봇 이동시 지정된 장소가 아닌 엉뚱한 곳으로 이동 한다함,"방문점검시 이상점 발견못함로봇이동로드 재설정 및 금지구역,완화금지구역 재설정"
특수수요요청 로봇교체,특수수요요청 로봇교체,특수수요요청 교체
로봇초기화에러,로봇초기화에러,파워재부팅
Lg1세대로봇교체,Lg1세대로봇교체,수리로봇교체
운행에러,운행에러,맵수정 위치수정
운행에러,운행에러,맵수정 위치수정
"[상품명]서빙로봇[신고자/연락처]염성호/010-9042-5215[문의(고장)내용]테스트용 로봇에 비해 복귀시 몇 번 빙글 돔, 트레이 물건 내렸는데, 돌아오는것이 느림, 장애물에 멈춤(기존 테스용은 피해서 동작했음)[답변(진단)내용][기타]","[상품명]서빙로봇[신고자/연락처]염성호/010-9042-5215[문의(고장)내용]테스트용 로봇에 비해 복귀시 몇 번 빙글 돔, 트레이 물건 내렸는데, 돌아오는것이 느림, 장애물에 멈춤(기존 테스용은 피해서 동작했음)[답변(진단)내용][기타]",로봇버젼업
로봇SWAP판정 교체,로봇SWAP판정 교체,SWAP교체완료
LG멀티 로봇 네트워크 불량 주행불가,LG멀티 로봇 네트워크 불량 주행불가,kt giga wifi mesh단말 불량
유심교체건,유심교체건,유심변경건
유심교체건,유심교체건,유심교체
로봇 주행오류,로봇 주행오류,사각트레이 정비 및 센서 클리닝
단말 확인,단말 확인,재부팅
로봇교체,로봇교체,교체
미세조정,미세조정,
겨울아침의창가 초기화 오류,겨울아침의창가 초기화 오류,로봇 불량 swap
주행 불가,주행 불가,재배치
주행오류,주행오류,QR삽입 및 버젼업
위치변경요청으로 방문수정 및 점검,위치변경요청으로 방문수정 및 점검,고객요청으로 위치변경 및 바닥스티커 작업
스테이션 카메라에러,스테이션 카메라에러,엘지스테이션 및 로봇케어앱에 카메라에러 발생 복구
목적지변경,목적지변경,목적지변경3개소 서빙대기위치변경
[상품명]베어로틱스서빙로봇[신고자/연락처]장용희과장/010-6294-0911[문의(고장)내용]장기 미사용으로 직권해지 복구됨/맵설정 등 방문 요청[답변(진단)내용]빠른 점검 요망[기타]kt영업대표 이상화/010-6814-0700,[상품명]베어로틱스서빙로봇[신고자/연락처]장용희과장/010-6294-0911[문의(고장)내용]장기 미사용으로 직권해지 복구됨/맵설정 등 방문 요청[답변(진단)내용]빠른 점검 요망[기타]kt영업대표 이상화/010-6814-0700,버전업지도 새로 그림
목적지변경,목적지변경,목적지3개소 및 서빙대기위치변경
충전소 위치 변경요청,충전소 위치 변경요청,충전소 위치변경
로봇이동불,로봇이동불,위치이탈 재수정 완료
충전불,충전불,충던베터리 교체
VOC접수 테스트,VOC접수 테스트,VOC접수테스트용 오더입니다.
자동복귀 안됨,자동복귀 안됨,원격조치 정상복구
네트워크 오류,네트워크 오류,방전후 충전및 위치재배치 재교육
[상품명][신고자/연락처]한상욱01037182392[문의(고장)내용]스캔및 이동잘안됨 일주일에 5^6번고장으로 불만[답변(진단)내용]탐색거부현장점검요청/로봇사용법등 재설명필요해보입니다[기타],[상품명][신고자/연락처]한상욱01037182392[문의(고장)내용]스캔및 이동잘안됨 일주일에 5^6번고장으로 불만[답변(진단)내용]탐색거부현장점검요청/로봇사용법등 재설명필요해보입니다[기타],마크 이동설치
교체,교체,재부팅
로봇 1대 부팅시 재시작 에러 계속 출력 점검요망,로봇 1대 부팅시 재시작 에러 계속 출력 점검요망,로봇불량으로 교체작업
충전이 정상적으로 이루어지지 않았다는 메시지가 액정화면에 출력,충전이 정상적으로 이루어지지 않았다는 메시지가 액정화면에 출력,로봇 전원튜브 불량수리
[상품명]LG서빙로봇[신고자/연락처]사장님/010-3670-1400[문의(고장)내용]경사로 주행중 이탈로 카메라 위치 부분 파손으로 점검 받으셨다고 하심[답변(진단)내용]카메라 주변 파손 수리 관련 방문 요청[기타],[상품명]LG서빙로봇[신고자/연락처]사장님/010-3670-1400[문의(고장)내용]경사로 주행중 이탈로 카메라 위치 부분 파손으로 점검 받으셨다고 하심[답변(진단)내용]카메라 주변 파손 수리 관련 방문 요청[기타],로봇교체
방역알림판 설정,방역알림판 설정,방역알림판 설정
충전장소 및 위치 마커 변경,충전장소 및 위치 마커 변경,충전소 및 마커 위치변경
화면터치 안됨,화면터치 안됨,로봇초기화후재설정
[상품명]서빙로봇[신고자/연락처] 010-6770-8315 / 이규필[문의(고장)내용]로봇 불량 교체 [답변(진단)내용] 내부고객 로봇 교체로 고장접수요청 [기타],[상품명]서빙로봇[신고자/연락처] 010-6770-8315 / 이규필[문의(고장)내용]로봇 불량 교체 [답변(진단)내용] 내부고객 로봇 교체로 고장접수요청 [기타],
로봇서버접속불가,로봇서버접속불가,로봇리부팅 네트웍재접속
swap교체,swap교체,바퀴불량교체
운행에러,운행에러,로봇불량
테이블위치변경,테이블위치변경,테이블변경
주행불가,주행불가,옵션조정후 임시복구
[상품명]서빙로봇[신고자/연락처]직원 010-7640-2756[문의(고장)내용] 운행이 안된다심[답변(진단)내용]KT직원 대신신고[기타],[상품명]서빙로봇[신고자/연락처]직원 010-7640-2756[문의(고장)내용] 운행이 안된다심[답변(진단)내용]KT직원 대신신고[기타],"위치잃어버림,와이파이고장"
길을 못찿고 뱅글뱅글 돈다함,길을 못찿고 뱅글뱅글 돈다함,양호
충전 안되고 로롯 사용 않됨,충전 안되고 로롯 사용 않됨,고객전원불량 차단기 차단
테이블 3곳 위치변경,테이블 3곳 위치변경,테이블위지변경
로봇위치 잃음,로봇위치 잃음,맵수정
"[상품명]서빙로봇[신고자/연락처]kt/010-6770-8315[문의(고장)내용]주행오류, 로봇 교체요청 [답변(진단)내용]교체중[기타]","[상품명]서빙로봇[신고자/연락처]kt/010-6770-8315[문의(고장)내용]주행오류, 로봇 교체요청 [답변(진단)내용]교체중[기타]",
POI 위치 수정요청,POI 위치 수정요청,
위치 잃음 테이블 변경됨,위치 잃음 테이블 변경됨,목적지추가 및 위재배치 재교육(홀직원)
하방카메라가상 장애물 감지,하방카메라가상 장애물 감지,하방카메라 가상 장애물 인식 오류
[상품명]서빙로봇[신고자/연락처]정영덕01037790815[문의(고장)내용]목적지확인불[답변(진단)내용]리셋하여도안됨/방문정검요청[기타]kt 김태경01073002483,[상품명]서빙로봇[신고자/연락처]정영덕01037790815[문의(고장)내용]목적지확인불[답변(진단)내용]리셋하여도안됨/방문정검요청[기타]kt 김태경01073002483,로봇 재배치 후 복구
베어로봇1세대 SWAP판정 교체,베어로봇1세대 SWAP판정 교체,swap교체
로봇 주행안정성증 문의꿀렁임등 문제제기,로봇 주행안정성증 문의꿀렁임등 문제제기,로봇 주행안정성 및 꿀렁임 문제제기
[상품명]베어 서빙로롯[신고자/연락처]031-576-6497[문의(고장)내용]한쪽경로 못 찿음[답변(진단)내용][기타],[상품명]베어 서빙로롯[신고자/연락처]031-576-6497[문의(고장)내용]한쪽경로 못 찿음[답변(진단)내용][기타],멥 재설치
[상품명]서빙로봇[신고자/연락처]문정현/010-2234-7048[문의(고장)내용]서빙로봇이 위치를 못찾는다고하심[답변(진단)내용]간편조치방법을 해도 안됨/전원리셋후 해봐도 안된다고하고하심/점검요청하심!![기타],[상품명]서빙로봇[신고자/연락처]문정현/010-2234-7048[문의(고장)내용]서빙로봇이 위치를 못찾는다고하심[답변(진단)내용]간편조치방법을 해도 안됨/전원리셋후 해봐도 안된다고하고하심/점검요청하심!![기타],로봇 하단부 렌즈불량4091
서빙후 미복귀 현상벌생,서빙후 미복귀 현상벌생,무게센서고장
운용및 이동지 위치변경,운용및 이동지 위치변경,운용지 및 이동지 위치변경
화분 추가배치로 로봇운행불가,화분 추가배치로 로봇운행불가,맵설정
로봇점검,로봇점검,로봇불량 교체
맵수정요칭,맵수정요칭,
간혹 주행불량,간혹 주행불량,
"[상품명] 베어 서빙로봇[신고자/연락처] 김수현 01096097270[문의(고장)내용] 3102501383, 번호를 누르면 궤도 이탈됨, 다시 돌아오지 못함[답변(진단)내용] 현장 점검요청","[상품명] 베어 서빙로봇[신고자/연락처] 김수현 01096097270[문의(고장)내용] 3102501383, 번호를 누르면 궤도 이탈됨, 다시 돌아오지 못함[답변(진단)내용] 현장 점검요청",
밧데리 방전 미충전상태,밧데리 방전 미충전상태,오전 충전안내 드림
로봇 불량 교체,로봇 불량 교체,단말교체
일부 테이블 위치변경으로 인한 로봇설정 변경요청,일부 테이블 위치변경으로 인한 로봇설정 변경요청,목적지변경 및 맵수정
로봇불량으로 교체,로봇불량으로 교체,로봇 불량으로 교체
[상품명]서빙로봇[신고자/연락처]강도형 010-7557-2717[문의(고장)내용]로봇 전원은 on되나 터치도 안되도 동작 안한다심[답변(진단)내용]빠른 연락 요청 하심[기타],[상품명]서빙로봇[신고자/연락처]강도형 010-7557-2717[문의(고장)내용]로봇 전원은 on되나 터치도 안되도 동작 안한다심[답변(진단)내용]빠른 연락 요청 하심[기타],긴급 버튼 오작동
서빙위치변경,서빙위치변경,서빙위치 변경
대기지점 복귀않됨,대기지점 복귀않됨,
[상품명]서빙로봇 [신고자/연락처]장현일 010 9371 0866[문의(고장)내용]로봇에서 전기가 흐르고 선반이 기울어 졌다고 영업한 대리점 사장님이 대신 신고함. [답변(진단)내용][기타],[상품명]서빙로봇 [신고자/연락처]장현일 010 9371 0866[문의(고장)내용]로봇에서 전기가 흐르고 선반이 기울어 졌다고 영업한 대리점 사장님이 대신 신고함. [답변(진단)내용][기타],
이동중 장애물 인지,이동중 장애물 인지,로봇 위치 잃어버림
로봇 불량 교체,로봇 불량 교체,로봇 불량 교체
터치불량,터치불량,
변경 요청,변경 요청,환경변화로 장애물 테이블위치조정 위치스티커 부착
사업주가 변경요청,사업주가 변경요청,환경변화로 장애물 테이블 위치조정 로봇위치 스티커 부착
로봇이 충전소에서 미동작함,로봇이 충전소에서 미동작함,"로봇재재구동,충전소재배치,무게센서초기화"
로봇 불량 교체,로봇 불량 교체,로봇 불량 교체
[상품명]서빙로봇(LG)[신고자/연락처]사장님/01023228738[문의(고장)내용]로봇 안움직임/로복 OFF/ON해도 마찬가지[답변(진단)내용]충전기는 이상무(충전시 적색불 들어옴)[기타],[상품명]서빙로봇(LG)[신고자/연락처]사장님/01023228738[문의(고장)내용]로봇 안움직임/로복 OFF/ON해도 마찬가지[답변(진단)내용]충전기는 이상무(충전시 적색불 들어옴)[기타],미사용후 사용 환경변화 재매핑
"[상품명]서빙로봇[신고자/연락처]043-855-7972 조성연[문의(고장)내용] 충전 안됨[답변(진단)내용]비상버튼 후 충전은 되나,,스스로  도킹장소 가서 충전을못함[기타]","[상품명]서빙로봇[신고자/연락처]043-855-7972 조성연[문의(고장)내용] 충전 안됨[답변(진단)내용]비상버튼 후 충전은 되나,,스스로  도킹장소 가서 충전을못함[기타]",충전소 이동장애로 맵다시그리기로함
"신규개통 로봇 불량판정, AS특수수요 요청 처리건","신규개통 로봇 불량판정, AS특수수요 요청 처리건","로봇 점검 완료, SW 업데이트 완료"
특수수요 요청 교체,특수수요 요청 교체,로봇고장(초기화오류)으로교체
유선충전기 불량,유선충전기 불량,충전기 신품 구매 교체
[상품명]서빙로봇 [신고자/연락처]정엄순 01043096390[문의(고장)내용]작동불 [답변(진단)내용]kt 영업대표 대신 신고함. [기타],[상품명]서빙로봇 [신고자/연락처]정엄순 01043096390[문의(고장)내용]작동불 [답변(진단)내용]kt 영업대표 대신 신고함. [기타],현장방문 정상복구
가오픈에서  금일실오픈  멀티로봇운행방식변경 및  고객 작동방법재교육 하이오더  연동확인,가오픈에서  금일실오픈  멀티로봇운행방식변경 및  고객 작동방법재교육 하이오더  연동확인,멀티로봇  운영 매장 오픈  점검  문제시 즉각 대응  요청하셔서  로봇적용
로봇고장,로봇고장,로봇
주행불량,주행불량,위치재배치
로봇전원 껏다켜짐 반복적임,로봇전원 껏다켜짐 반복적임,전원아답터 접촉불
[상품명]서빙로봇(베어로보틱스)[신고자/연락처]김수현/01096097270[문의(고장)내용]보내면 돌아오지를 못함[답변(진단)]점검요청[기타],[상품명]서빙로봇(베어로보틱스)[신고자/연락처]김수현/01096097270[문의(고장)내용]보내면 돌아오지를 못함[답변(진단)]점검요청[기타],
간혹 복귀불량,간혹 복귀불량,
서빙 알림멘트 안나옴,서빙 알림멘트 안나옴,용도 설정변경
테마가있는Ai로봇BS활동,테마가있는Ai로봇BS활동,
테마가있는Ai로봇BS활동,테마가있는Ai로봇BS활동,
"[상품명]LG서빕로봇[신고자/연락처]010-9099-7979 이숙향[문의(고장)내용] 음식을 보냈는데 다시 되돌아감,그때 보냈는데 다시돌아옴..직원분 내방 점검 요청하심[답변(진단)내용]비상버튼 재부팅 동일함 점검요청[기타]","[상품명]LG서빕로봇[신고자/연락처]010-9099-7979 이숙향[문의(고장)내용] 음식을 보냈는데 다시 되돌아감,그때 보냈는데 다시돌아옴..직원분 내방 점검 요청하심[답변(진단)내용]비상버튼 재부팅 동일함 점검요청[기타]",
액정불량,액정불량,로봇교체
민원인 탁자 재배치로 맵변경 요청,민원인 탁자 재배치로 맵변경 요청,매장내 민원탁자 재배치
로봇 불량 교체 요청,로봇 불량 교체 요청,단말기교체
SWAP으로 교체,SWAP으로 교체,SWAP으로 교체
모니터 화면 불량점검,모니터 화면 불량점검,전원부오류
충전 어댑터 불량으로 충전불,충전 어댑터 불량으로 충전불,벽면 전원콘센트 접촉불
부탕불 수캔하기버튼 안눌림,부탕불 수캔하기버튼 안눌림,부팅불
충전불,충전불,방전으로 충전불
로봇 불량 교체,로봇 불량 교체,로봇 불량 교체
[상품명] lg서빙로봇[신고자/연락처] 장영상(kt직원:판매자) 010-2879-0546[문의(고장)내용] 터치가 비정상. 작동안됨[답변(진단)내용] 로봇전원재부팅해도 안됨. 점검요청[기타] 9.4일 월요일 10시경 방문희망,[상품명] lg서빙로봇[신고자/연락처] 장영상(kt직원:판매자) 010-2879-0546[문의(고장)내용] 터치가 비정상. 작동안됨[답변(진단)내용] 로봇전원재부팅해도 안됨. 점검요청[기타] 9.4일 월요일 10시경 방문희망,마그네틱센서 off 임시조치 후 운행정상
1층 에서 2층 모밀집으로 옮긴후 점검요청,1층 에서 2층 모밀집으로 옮긴후 점검요청,홀매니져분들께 로봇사용방법 전파
테이블위치변경,테이블위치변경,비고장
[상품명]서빙로봇 [신고자/연락처]박창욱/010-9216-1736[문의(고장)내용]장애물 도 없는데 경로 이동 안됨[답변(진단)내용] 8/1일 점검받았는데 상태 동일[기타],[상품명]서빙로봇 [신고자/연락처]박창욱/010-9216-1736[문의(고장)내용]장애물 도 없는데 경로 이동 안됨[답변(진단)내용] 8/1일 점검받았는데 상태 동일[기타],서빙재배치 작업
로봇교체,로봇교체,로봇교처
POI위치변경요청,POI위치변경요청,
충전불량,충전불량,
[상품명] 서빙로봇[신고자/연락처] 황해진 010-8511-2435[문의(고장)내용] 로봇1대 기둥에 부딪힌 이후 작동정지 / 점검요청[답변(진단)내용][기타] 야간접수건 익일 오전중 연락 및 점검양해,[상품명] 서빙로봇[신고자/연락처] 황해진 010-8511-2435[문의(고장)내용] 로봇1대 기둥에 부딪힌 이후 작동정지 / 점검요청[답변(진단)내용][기타] 야간접수건 익일 오전중 연락 및 점검양해,일부테이블 목적지 미세조정
지도 위치 틀어짐 발생,지도 위치 틀어짐 발생,위치 틀어짐발생
지도 위치 틀어짐 발생,지도 위치 틀어짐 발생,위치 틀어짐 발생
로봇화면터치 불재부팅 위치마커 인식 실패,로봇화면터치 불재부팅 위치마커 인식 실패,UI화면 간헐적 터치 불RGB카메라#1 이상 의심전원ON/OFF 2회 실시후 정상
로봇 복귀 불가,로봇 복귀 불가,로봇 맵수정및 무게게이지설정
로봇 불량 교체,로봇 불량 교체,로봇 불량 교체
조작판넬 터치불량 점검요청,조작판넬 터치불량 점검요청,9.5일(화) 화면터치불량. SWAP 판정
유니버스 사용율 저조로 방문점검,유니버스 사용율 저조로 방문점검,유니버스 사용울저조로방문 점검
내부 테이블변경  및 픽업 포인트 변경,내부 테이블변경  및 픽업 포인트 변경,매장내 테이블 위치변경 및 픽업포인트 변경
로봇운행오류,로봇운행오류,바닥상태불량 완화구역설정
멀티주행점검,멀티주행점검,멀티주행점검
멀티주행점검,멀티주행점검,멀티주행점검
초기화중 부팅안됨 som보드 불량추정,초기화중 부팅안됨 som보드 불량추정,SOM보그 불량 교체
[상품명]서비로봇[신고자/연락처]김인철/01048577626[문의(고장)내용]로봇 재설정하면 서비스 위치가 아닌 다른 장소로 간다고함[답변(진단)내용][기타],[상품명]서비로봇[신고자/연락처]김인철/01048577626[문의(고장)내용]로봇 재설정하면 서비스 위치가 아닌 다른 장소로 간다고함[답변(진단)내용][기타],원클릭업데이트 및 로봇 재부팅후 재배치 복귀됨 직원분 재안내함
